Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
Nacional;02 Bebidas alcohólicas y tabaco;Variación mensual;2024M04;0,2
Nacional;02 Bebidas alcohólicas y tabaco;Variación mensual;2024M03;0,1
Nacional;02 Bebidas alcohólicas y tabaco;Variación mensual;2024M02;1,5
Nacional;02 Bebidas alcohólicas y tabaco;Variación mensual;2024M01;2,3
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M12;5,0
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M11;3,6
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M10;3,6
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M09;3,5
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M08;3,6
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M07;3,7
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M06;3,8
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M05;4,1
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M04;4,1
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M03;4,0
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M02;4,7
Nacional;02 Bebidas alcohólicas y tabaco;Variación anual;2024M01;4,2
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M12;5,0
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M11;4,4
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M10;4,4
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M09;4,2
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M08;4,0
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M07;4,1
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M06;4,0
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M05;4,3
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M04;4,2
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M03;3,9
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M02;3,9
Nacional;02 Bebidas alcohólicas y tabaco;Variación en lo que va de año;2024M01;2,3
Nacional;03 Vestido y calzado;Índice;2024M12;113,662
Nacional;03 Vestido y calzado;Índice;2024M11;114,520
Nacional;03 Vestido y calzado;Índice;2024M10;109,916
Nacional;03 Vestido y calzado;Índice;2024M09;101,322
Nacional;03 Vestido y calzado;Índice;2024M08;98,972
Nacional;03 Vestido y calzado;Índice;2024M07;99,829
Nacional;03 Vestido y calzado;Índice;2024M06;110,405
Nacional;03 Vestido y calzado;Índice;2024M05;111,309
Nacional;03 Vestido y calzado;Índice;2024M04;108,812
Nacional;03 Vestido y calzado;Índice;2024M03;101,600
Nacional;03 Vestido y calzado;Índice;2024M02;99,217
Nacional;03 Vestido y calzado;Índice;2024M01;101,067
Nacional;03 Vestido y calzado;Variación mensual;2024M12;-0,7
Nacional;03 Vestido y calzado;Variación mensual;2024M11;4,2
Nacional;03 Vestido y calzado;Variación mensual;2024M10;8,5
Nacional;03 Vestido y calzado;Variación mensual;2024M09;2,4
Nacional;03 Vestido y calzado;Variación mensual;2024M08;-0,9
Nacional;03 Vestido y calzado;Variación mensual;2024M07;-9,6
Nacional;03 Vestido y calzado;Variación mensual;2024M06;-0,8
Nacional;03 Vestido y calzado;Variación mensual;2024M05;2,3
Nacional;03 Vestido y calzado;Variación mensual;2024M04;7,1
Nacional;03 Vestido y calzado;Variación mensual;2024M03;2,4
Nacional;03 Vestido y calzado;Variación mensual;2024M02;-1,8
Nacional;03 Vestido y calzado;Variación mensual;2024M01;-10,7
Nacional;03 Vestido y calzado;Variación anual;2024M12;0,5
Nacional;03 Vestido y calzado;Variación anual;2024M11;0,2
